id,LST,NDVI,IBI,MNDWI
370,43.54097,0.45545,-0.00584,-0.46512
371,40.95589,0.60182,-0.12540,-0.44127
372,38.64038,0.63739,-0.22710,-0.36872
373,46.31934,0.19039,0.08239,-0.35946
374,35.05045,0.08690,-0.14752,0.13429
375,36.85696,0.65461,-0.15500,-0.45857
376,39.36686,0.66740,-0.17808,-0.46020
377,36.11507,0.43058,-0.22731,-0.09080
378,38.97293,0.68002,-0.15362,-0.47593
379,33.32710,-0.03908,-0.33174,0.52381
380,41.19566,0.57674,-0.15930,-0.39591
381,39.10954,0.48430,-0.01973,-0.48213
382,49.48420,0.17126,0.09135,-0.35514
383,37.14634,0.15242,-0.35550,0.36000
384,43.67860,0.28750,-0.09891,-0.14252
385,42.55070,0.61110,-0.14229,-0.43603
386,38.47443,0.59648,-0.12695,-0.42930
387,39.11508,0.53019,-0.09849,-0.44230
388,38.68822,0.62285,-0.13508,-0.44588
389,39.02146,0.38037,-0.00230,-0.42202
390,41.61106,0.40663,-0.08736,-0.33205
391,39.62860,0.52612,-0.08069,-0.42727
392,40.76401,0.59494,-0.10877,-0.47752
393,37.25373,0.56950,-0.12539,-0.40243
394,37.99087,0.60943,-0.12744,-0.44707
395,39.74504,0.60094,-0.09669,-0.48521
396,37.89942,0.69099,-0.20500,-0.44331
397,38.94889,0.40980,-0.00817,-0.43910
398,,,,
399,36.36948,0.62431,-0.12719,-0.46234
